iter	Passed	Remaining
1185	45493	76334
1186	45535	76302
1187	45571	76259
1188	45608	76219
1189	45657	76198
1190	45692	76154
1191	45730	76115
1192	45770	76080
1193	45807	76038
1194	45841	75994
1195	45880	75956
1196	45921	75921
1197	45957	75880
1198	46001	75850
1199	46042	75816
1200	46084	75784
1201	46122	75744
1202	46165	75714
1203	46211	75688
1204	46256	75660
1205	46298	75629
1206	46339	75595
1207	46381	75562
1208	46415	75517
1209	46457	75483
1210	46495	75444
1211	46531	75402
1212	46568	75362
1213	46602	75316
1214	46638	75274
1215	46673	75230
1216	46711	75190
1217	46746	75147
1218	46786	75111
1219	46824	75073
1220	46864	75036
1221	46900	74995
1222	46929	74941
1223	46964	74897
1224	47010	74871
1225	47049	74834
1226	47088	74796
1227	47126	74757
1228	47161	74714
1229	47196	74670
1230	47233	74630
1231	47270	74588
1232	47302	74541
1233	47339	74499
1234	47372	74454
1235	47415	74421
1236	47457	74389
1237	47494	74349
1238	47531	74308
1239	47567	74266
1240	47603	74224
1241	47638	74181
1242	47685	74156
1243	47720	74112
1244	47761	74077
1245	47799	74039
1246	47842	74008
1247	47886	73977
1248	47922	73936
1249	47958	73894
1250	47995	73853
1251	48033	73815
1252	48071	73776
1253	48110	73738
1254	48147	73698
1255	48186	73660
1256	48220	73615
1257	48255	73572
1258	48291	73529
1259	48331	73494
1260	48371	73458
1261	48419	73434
1262	48458	73397
1263	48505	73371
1264	48546	73338
1265	48589	73306
1266	48629	73271
1267	48667	73231
1268	48703	73189
1269	48739	73148
1270	48778	73110
1271	48821	73078
1272	48863	73045
1273	48902	73008
1274	48941	72970
1275	48978	72930
1276	49016	72891
1277	49057	72857
1278	49101	72827
1279	49142	72792
1280	49187	72763
1281	49225	72724
1282	49262	72684
1283	49316	72668
1284	49358	72635
1285	49403	72607
1286	49449	72579
1287	49498	72556
1288	49546	72532
1289	49586	72496
1290	49626	72459
1291	49660	72414
1292	49704	72384
1293	49747	72352
1294	49795	72328
1295	49836	72293
1296	49877	72259
1297	49915	72219
1298	49952	72178
1299	49992	72143
1300	50039	72116
1301	50080	72082
1302	50118	72042
1303	50163	72013
1304	50206	71981
1305	50243	71941
1306	50282	71903
1307	50319	71863
1308	50372	71844
1309	50405	71798
1310	50450	71770
1311	50496	71742
1312	50531	71697
1313	50578	71672
1314	50620	71638
1315	50663	71606
1316	50705	71573
1317	50744	71535
1318	50784	71498
1319	50835	71478
1320	50876	71442
1321	50911	71399
1322	50963	71379
1323	51006	71347
1324	51049	71315
1325	51093	71283
1326	51135	71250
1327	51179	71219
1328	51223	71188
1329	51267	71157
1330	51304	71117
1331	51338	71072
1332	51381	71040
1333	51425	71008
1334	51472	70981
1335	51512	70945
1336	51549	70904
1337	51589	70867
1338	51636	70841
1339	51682	70813
1340	51726	70781
1341	51772	70752
1342	51816	70722
1343	51852	70679
1344	51895	70647
1345	51937	70612
1346	51979	70578
1347	52024	70549
1348	52072	70523
1349	52116	70492
1350	52160	70461
1351	52200	70423
1352	52245	70394
1353	52296	70371
1354	52339	70339
1355	52394	70322
1356	52441	70296
1357	52483	70261
1358	52527	70229
1359	52571	70198
1360	52618	70171
1361	52668	70147
1362	52716	70121
1363	52761	70090
1364	52808	70063
1365	52862	70045
1366	52906	70013
1367	52949	69980
1368	52993	69948
1369	53036	69915
1370	53082	69885
1371	53133	69864
1372	53176	69830
1373	53225	69805
1374	53269	69772
1375	53321	69752
1376	53364	69718
1377	53408	69686
1378	53448	69650
1379	53493	69619
1380	53531	69578
1381	53571	69542
1382	53612	69506
1383	53655	69472
1384	53695	69435
1385	53747	69413
1386	53798	69390
1387	53849	69367
1388	53888	69329
1389	53934	69299
1390	53981	69271
1391	54027	69242
1392	54071	69209
1393	54116	69179
1394	54163	69150
1395	54207	69118
1396	54257	69094
1397	54301	69062
1398	54339	69021
1399	54386	68993
1400	54429	68959
1401	54467	68919
1402	54510	68886
1403	54563	68864
1404	54605	68830
1405	54655	68805
1406	54698	68771
1407	54758	68759
1408	54811	68738
1409	54842	68689
1410	54880	68649
1411	54927	68621
1412	54974	68591
1413	55020	68561
1414	55062	68526
1415	55120	68511
1416	55161	68475
1417	55209	68446
1418	55257	68419
1419	55300	68386
1420	55343	68352
1421	55388	68320
1422	55441	68298
1423	55507	68292
1424	55550	68259
1425	55595	68226
1426	55635	68189
1427	55676	68153
1428	55729	68131
1429	55783	68110
1430	55828	68078
1431	55878	68053
1432	55921	68019
1433	55967	67987
1434	56019	67964
1435	56052	67919
1436	56095	67884
1437	56142	67854
1438	56185	67821
1439	56231	67790
1440	56273	67754
1441	56323	67728
1442	56367	67696
1443	56411	67662
1444	56451	67624
1445	56491	67587
1446	56527	67543
1447	56566	67504
1448	56608	67469
1449	56655	67439
1450	56695	67401
1451	56731	67359
1452	56766	67314
1453	56804	67274
1454	56849	67242
1455	56887	67202
1456	56923	67160
1457	56966	67124
1458	57001	67081
1459	57036	67037
1460	57072	66995
1461	57108	66952
1462	57140	66905
1463	57173	66858
1464	57206	66812
1465	57240	66767
1466	57275	66724
1467	57312	66682
1468	57350	66641
1469	57388	66602
1470	57425	66560
1471	57461	66517
1472	57499	66478
1473	57544	66445
1474	57581	66403
1475	57614	66358
1476	57652	66317
1477	57734	66328
1478	57772	66287
1479	57809	66247
1480	57851	66211
1481	57889	66171
1482	57927	66130
1483	57966	66091
1484	58006	66052
1485	58044	66013
1486	58083	65973
1487	58132	65945
1488	58173	65908
1489	58207	65863
1490	58245	65823
1491	58281	65781
1492	58319	65740
1493	58371	65716
1494	58408	65675
1495	58448	65637
1496	58484	65594
1497	58523	65555
1498	58562	65516
1499	58599	65474
1500	58638	65436
1501	58674	65393
1502	58713	65354
1503	58749	65311
1504	58786	65270
1505	58822	65227
1506	58862	65190
1507	58897	65146
1508	58931	65102
1509	58971	65063
1510	59008	65022
