product_rating,is_sponsored,buy_box_availability,sustainability_tags,has_coupon,discount_percentage,badge_amazons,badge_best_seller,badge_ends_in,badge_limited_time_deal,badge_no_badge,badge_save_xpct,log_purchased_last_month,log_original_price,log_total_reviews,"cat_Audio, Sound & Recording Gear",cat_Cameras & Photography,"cat_Chargers, Adapters & Cables",cat_Computer Peripherals,cat_Laptops,cat_Mobile Cell Phones & Smartphones,cat_Networking,"cat_Office Supplies, Ink & Toner",cat_Other Electronics,cat_PC Components,cat_Power & Batteries,cat_Printers & Scanners (Hardware),cat_Small Gadget Accessories (Cases & Protectors),cat_Smart Home & Security,cat_Storage & Memory Cards,cat_TV & Video Displays,cat_Tablets & E-readers (DEVICES ONLY),cat_Video Game Consoles & Virtual Reality,cat_Wearables
4.1,0,0,0,0,0.15,0,1,0,0,0,0,9.210440366976515,4.584865432647727,9.726869698658852,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.6,0,1,1,0,0.0,0,0,0,0,1,0,9.210440366976515,4.595018834931716,8.421562960400987,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4.7,0,0,0,0,0.0,0,0,0,0,1,0,9.210440366976515,2.990719731730447,7.888334500738654,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.8,0,0,1,0,0.0,0,0,0,0,1,0,8.294299608857235,6.824460622784326,6.704414354964107,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.6,0,1,0,0,0.07,0,0,0,0,1,0,9.210440366976515,3.366950942933564,10.41171981644952,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.4,0,1,1,0,0.45,0,1,0,0,0,0,9.210440366976515,4.6150215020384655,10.01761948658104,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
4.7,0,0,1,0,0.0,0,0,0,0,1,0,9.210440366976515,4.023385473281607,10.21181748321106,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.8,0,1,0,0,0.2,0,0,0,0,1,0,8.517393171418904,6.1092475827643655,8.653470809708786,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4.1,0,0,0,0,0.0,0,0,0,0,1,0,8.987321812850125,5.525253716100942,7.659642954564682,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4.8,0,1,0,0,0.0,0,0,0,0,1,0,9.90353755128617,2.995232148512309,9.742496866444002,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.4,0,0,0,0,0.0,0,0,0,0,1,0,9.210440366976515,3.1637858585502405,10.611991216416763,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.6,0,1,0,0,0.0,0,0,0,0,1,0,9.210440366976515,4.481758841072857,8.494947582468917,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.7,0,1,0,0,0.0,0,1,0,0,0,0,9.210440366976515,4.531523645819793,10.417059401970144,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.7,0,0,0,0,0.12,0,1,0,0,0,0,0.0,5.831853151340319,9.139810605785655,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4.1,0,0,0,0,0.0,0,0,0,0,1,0,8.987321812850125,4.5427627258594745,8.568646473005153,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4.7,0,1,0,0,0.0,0,1,0,0,0,0,10.308985993422082,2.6720775406433925,11.927667409858602,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4.5,0,0,1,0,0.0,0,0,0,0,1,0,9.210440366976515,3.786232999369848,11.403489991270373,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.6,0,0,0,0,0.0,1,0,0,0,0,0,9.210440366976515,4.222444564849416,8.912742634737025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4.7,0,1,0,0,0.23,0,0,0,0,1,0,9.210440366976515,3.295466427029913,12.300077428219764,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4.6,0,1,0,0,0.0,0,1,0,0,0,0,9.210440366976515,2.659559991941776,12.184843901813206,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4.3,0,1,0,0,0.0,0,0,0,0,1,0,9.90353755128617,3.208421366964342,10.520077610373916,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.7,0,0,0,0,0.0,0,0,0,0,1,0,8.853808274977197,4.996468754178678,7.994969522697877,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.4,0,1,0,0,0.27,0,0,0,0,1,0,9.105090961257083,5.017213609456379,7.004881989712859,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4.7,0,0,1,0,0.0,0,0,0,0,1,0,9.210440366976515,3.634687225030509,10.236525326708708,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.4,0,1,1,0,0.3,0,0,0,0,1,0,9.105090961257083,5.30325515557766,9.628853318933604,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
4.5,0,0,0,0,0.0,0,0,0,0,1,0,8.853808274977197,5.148250005283415,10.010861040804455,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.9,0,1,0,0,0.22,0,0,0,0,1,0,9.210440366976515,3.4339872044851463,9.20331575703922,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
